sgRNA	gene
HGLibA_00369	ACADM
HGLibA_00370	ACADS
HGLibA_00371	ACADS
HGLibA_00372	ACADS
HGLibA_00373	ACADSB
HGLibA_00374	ACADSB
HGLibA_00375	ACADSB
HGLibA_00376	ACADVL
HGLibA_00377	ACADVL
HGLibA_00378	ACADVL
HGLibA_00379	ACAN
HGLibA_00380	ACAN
HGLibA_00381	ACAN
HGLibA_00382	ACAP1
HGLibA_00383	ACAP1
HGLibA_00384	ACAP1
HGLibA_00385	ACAP2
HGLibA_00386	ACAP2
HGLibA_00387	ACAP2
HGLibA_00388	ACAP3
HGLibA_00389	ACAP3
HGLibA_00390	ACAP3
HGLibA_00391	ACAT1
HGLibA_00392	ACAT1
HGLibA_00393	ACAT1
HGLibA_00394	ACAT2
HGLibA_00395	ACAT2
HGLibA_00396	ACAT2
HGLibA_00397	ACBD3
HGLibA_00398	ACBD3
HGLibA_00399	ACBD3
HGLibA_00400	ACBD4
HGLibA_00401	ACBD4
HGLibA_00402	ACBD4
HGLibA_00403	ACBD5
HGLibA_00404	ACBD5
HGLibA_00405	ACBD5
HGLibA_00406	ACBD6
HGLibA_00407	ACBD6
HGLibA_00408	ACBD6
HGLibA_00409	ACBD7
HGLibA_00410	ACBD7
HGLibA_00411	ACBD7
HGLibA_00412	ACCS
HGLibA_00413	ACCS
HGLibA_00414	ACCS
HGLibA_00415	ACCSL
HGLibA_00416	ACCSL
HGLibA_00417	ACCSL
HGLibA_00418	ACD
HGLibA_00419	ACD
HGLibA_00420	ACD
HGLibA_00421	ACE
HGLibA_00422	ACE
HGLibA_00423	ACE
HGLibA_00424	ACE2
HGLibA_00425	ACE2
HGLibA_00426	ACE2
HGLibA_00427	ACER1
HGLibA_00428	ACER1
HGLibA_00429	ACER1
HGLibA_00430	ACER2
HGLibA_00431	ACER2
HGLibA_00432	ACER2
HGLibA_00433	ACER3
HGLibA_00434	ACER3
HGLibA_00435	ACER3
HGLibA_00436	ACHE
HGLibA_00437	ACHE
